Degree	Network
6	Angola
15	Angola
7	Angola
10	Angola
13	Angola
8	Angola
9	Angola
10	Angola
7	Angola
3	Angola
6	Angola
2	Angola
13	Angola
7	Angola
7	Angola
8	Angola
7	Angola
9	Angola
15	Angola
3	Angola
8	Angola
6	Angola
14	Angola
14	Angola
15	Angola
15	Angola
8	Angola
9	Angola
2	Beagle
10	Beagle
10	Beagle
6	Beagle
6	Beagle
6	Beagle
6	Beagle
6	Beagle
6	Beagle
6	Beagle
5	Beagle
11	Beagle
5	Beagle
7	Beagle
9	Beagle
9	Beagle
9	Beagle
9	Beagle
19	Beagle
19	Beagle
19	Beagle
19	Beagle
19	Beagle
19	Beagle
12	Beagle
12	Beagle
15	Beagle
15	Beagle
13	Beagle
13	Beagle
13	Beagle
13	Beagle
18	Beagle
15	Celtic
1	Celtic
3	Celtic
1	Celtic
3	Celtic
1	Celtic
3	Celtic
1	Celtic
1	Celtic
1	Celtic
5	Celtic
10	Celtic
16	Celtic
8	Celtic
10	Celtic
1	Celtic
5	Celtic
15	Celtic
4	Celtic
3	Celtic
16	Celtic
8	Celtic
17	Celtic
8	Celtic
1	Celtic
3	Celtic
3	Celtic
13	Celtic
22	Celtic
2	Celtic
4	Celtic
1	Celtic
21	Celtic
9	Celtic
19	Celtic
9	Celtic
1	Celtic
1	Celtic
4	Celtic
8	Celtic
8	Celtic
12	Celtic
14	Celtic
4	Celtic
6	Celtic
3	Celtic
11	Celtic
3	Celtic
9	Florida
11	Florida
18	Florida
4	Florida
7	Florida
16	Florida
7	Florida
11	Florida
3	Florida
17	Florida
7	Florida
5	Florida
6	Florida
17	Florida
7	Florida
19	Florida
6	Florida
2	Florida
4	Florida
9	Florida
12	Florida
12	Florida
10	Florida
8	Florida
12	Florida
17	Florida
12	Florida
13	Florida
11	Florida
3	Florida
2	Florida
4	Florida
15	Florida
18	Florida
8	Florida
11	Florida
8	Florida
3	Florida
9	Florida
6	Florida
4	Florida
4	Florida
8	Florida
9	Florida
2	Florida
13	Florida
5	Florida
18	Florida
8	LaGuajira
5	LaGuajira
5	LaGuajira
19	LaGuajira
21	LaGuajira
10	LaGuajira
25	LaGuajira
18	LaGuajira
16	LaGuajira
14	LaGuajira
21	LaGuajira
21	LaGuajira
12	LaGuajira
18	LaGuajira
16	LaGuajira
21	LaGuajira
19	LaGuajira
26	LaGuajira
14	LaGuajira
14	LaGuajira
12	LaGuajira
15	LaGuajira
11	LaGuajira
5	LaGuajira
7	LaGuajira
3	LaGuajira
20	LaGuajira
8	Monterey
13	Monterey
3	Monterey
5	Monterey
6	Monterey
2	Monterey
3	Monterey
2	Monterey
5	Monterey
5	Monterey
3	Monterey
4	Monterey
3	Monterey
3	Monterey
3	Monterey
4	Monterey
1	Monterey
7	Monterey
4	Monterey
6	Monterey
4	Monterey
8	Monterey
3	Monterey
1	Monterey
4	Monterey
1	Monterey
2	Monterey
3	Monterey
1	Monterey
4	Monterey
4	Monterey
4	Monterey
1	Monterey
11	Monterey
3	Monterey
2	Monterey
12	Monterey
3	Simonbay
4	Simonbay
1	Simonbay
2	Simonbay
9	Simonbay
4	Simonbay
5	Simonbay
5	Simonbay
6	Simonbay
4	Simonbay
3	Simonbay
3	Simonbay
4	Simonbay
4	Simonbay
3	Simonbay
5	Simonbay
5	Simonbay
6	Simonbay
6	Simonbay
5	Simonbay
7	Simonbay
10	Simonbay
10	Simonbay
4	Simonbay
10	Simonbay
7	Simonbay
2	Simonbay
2	Simonbay
1	Simonbay
48	PotterCove
8	PotterCove
7	PotterCove
10	PotterCove
7	PotterCove
11	PotterCove
1	PotterCove
4	PotterCove
1	PotterCove
1	PotterCove
3	PotterCove
3	PotterCove
5	PotterCove
5	PotterCove
2	PotterCove
1	PotterCove
9	PotterCove
1	PotterCove
1	PotterCove
4	PotterCove
1	PotterCove
1	PotterCove
3	PotterCove
3	PotterCove
2	PotterCove
3	PotterCove
5	PotterCove
2	PotterCove
3	PotterCove
1	PotterCove
3	PotterCove
1	PotterCove
1	PotterCove
8	PotterCove
15	PotterCove
16	PotterCove
5	PotterCove
17	PotterCove
8	PotterCove
13	PotterCove
7	PotterCove
9	PotterCove
9	PotterCove
3	PotterCove
6	PotterCove
11	PotterCove
12	PotterCove
7	PotterCove
9	PotterCove
8	PotterCove
20	PotterCove
6	PotterCove
3	PotterCove
12	PotterCove
4	PotterCove
5	PotterCove
14	PotterCove
6	PotterCove
3	PotterCove
3	PotterCove
3	PotterCove
8	PotterCove
5	PotterCove
3	PotterCove
29	PotterCove
9	PotterCove
1	PotterCove
5	PotterCove
3	PotterCove
1	PotterCove
14	PotterCove
4	PotterCove
5	PotterCove
5	PotterCove
4	PotterCove
3	PotterCove
4	PotterCove
5	PotterCove
2	PotterCove
8	PotterCove
8	PotterCove
3	PotterCove
12	PotterCove
10	PotterCove
17	PotterCove
11	PotterCove
13	PotterCove
11	PotterCove
6	PotterCove
4	PotterCove
2	PotterCove
11	Baltic
1	Baltic
13	Baltic
9	Baltic
17	Baltic
16	Baltic
9	Baltic
13	Baltic
10	Baltic
12	Baltic
19	Baltic
13	Baltic
5	Baltic
4	Baltic
11	Baltic
4	Baltic
13	Baltic
23	Baltic
10	Baltic
11	Baltic
17	Baltic
15	Baltic
15	Baltic
9	Baltic
12	Baltic
11	Baltic
10	Baltic
16	Baltic
10	Baltic
14	Baltic
9	Baltic
10	Baltic
10	Baltic
31	Cayman
22	Cayman
10	Cayman
52	Cayman
53	Cayman
46	Cayman
46	Cayman
43	Cayman
17	Cayman
20	Cayman
26	Cayman
9	Cayman
12	Cayman
16	Cayman
24	Cayman
45	Cayman
59	Cayman
62	Cayman
59	Cayman
58	Cayman
44	Cayman
53	Cayman
49	Cayman
51	Cayman
9	Cayman
6	Cayman
8	Cayman
7	Cayman
7	Cayman
7	Cayman
17	Cayman
15	Cayman
33	Cayman
31	Cayman
26	Cayman
26	Cayman
21	Cayman
15	Cayman
10	Cayman
35	Cayman
22	Cayman
33	Cayman
34	Cayman
39	Cayman
35	Cayman
36	Cayman
21	Cayman
33	Cayman
41	Cayman
41	Cayman
47	Cayman
43	Cayman
42	Cayman
38	Cayman
41	Cayman
14	Cayman
41	Cayman
44	Cayman
42	Cayman
15	Cayman
8	Cayman
36	Cayman
34	Cayman
18	Cayman
17	Cayman
36	Cayman
9	Cayman
35	Cayman
40	Cayman
11	Cayman
58	Cayman
60	Cayman
59	Cayman
61	Cayman
71	Cayman
30	Cayman
4	Cayman
36	Cayman
78	Cayman
35	Cayman
48	Cayman
37	Cayman
40	Cayman
31	Cayman
34	Cayman
55	Cayman
20	Cayman
33	Cayman
34	Cayman
32	Cayman
19	Cayman
67	Cayman
71	Cayman
87	Cayman
65	Cayman
100	Cayman
66	Cayman
38	Cayman
73	Cayman
79	Cayman
41	Cayman
19	Cayman
88	Cayman
25	Cayman
14	Cayman
10	Cayman
14	Cayman
24	Cayman
12	Cayman
29	Cayman
9	Cayman
18	Cayman
9	Cayman
28	Cayman
11	Cayman
17	Cayman
13	Cayman
8	Cayman
16	Cayman
14	Cayman
17	Cayman
19	Cayman
22	Cayman
20	Cayman
24	Cayman
23	Cayman
13	Cayman
40	Cayman
73	Cayman
50	Cayman
31	Cayman
47	Cayman
18	Cayman
35	Cayman
39	Cayman
56	Cayman
34	Cayman
52	Cayman
30	Cayman
16	Cayman
34	Cayman
32	Cayman
36	Cayman
38	Cayman
44	Cayman
37	Cayman
17	Cayman
19	Cayman
37	Cayman
38	Cayman
33	Cayman
33	Cayman
7	Cayman
15	Cayman
2	Cayman
18	Cayman
17	Cayman
38	Cayman
38	Cayman
43	Cayman
35	Cayman
41	Cayman
27	Cayman
10	Cayman
18	Cayman
12	Cayman
27	Cayman
25	Cayman
16	Cayman
20	Cayman
16	Cayman
20	Cayman
5	Cayman
32	Cayman
2	Cayman
2	Cayman
24	Cayman
52	Cayman
47	Cayman
56	Cayman
28	Cayman
34	Cayman
50	Cayman
69	Cayman
10	Cayman
28	Cayman
49	Cayman
38	Cayman
62	Cayman
66	Cayman
7	Cayman
12	Cayman
11	Cayman
16	Cayman
44	Cayman
5	Cayman
33	Cayman
18	Cayman
10	Cayman
3	Cayman
38	Cayman
6	Cayman
26	Cayman
32	Cayman
23	Cayman
6	Cayman
22	Cayman
31	Cayman
30	Cayman
15	Cayman
21	Cayman
25	Cayman
22	Cayman
15	Cayman
29	Cayman
40	Cayman
28	Cayman
47	Cayman
27	Cayman
9	Cayman
23	Cayman
24	Cayman
53	Cayman
34	Cayman
32	Cayman
20	Cayman
4	Cayman
4	Cayman
6	Cayman
7	Cayman
12	Cayman
21	Cayman
26	Cayman
56	Cayman
62	Cayman
5	Cayman
21	Cayman
25	Cayman
37	Cayman
13	Cayman
70	Cayman
104	Cayman
32	Cuba
23	Cuba
10	Cuba
54	Cuba
54	Cuba
48	Cuba
