Nodes,plankton and marine detritus,diatoms in sand,diatoms in surface film,interstitial fauna (Foraminifera),large algae (Macrocystes),dead birds etc. washed in from sea,stream and airborne insects,mollusks (Tivela - Donax - Mesodesma) (bivalves),Olivella (gastropod),Emerita analoga (small crustacean),Emerita emerita (small crustacean),Excirolana (?),Blepharipoda (?),Lepipoda (?),Callianassa (decapod - lobster),Austromenidia and Engraulis (fish),Talitrids (amphipods),Ocypode (ghost crab),Coenobita (hermit crabs),kelp flies,flies - Dermestes - Calliphora - Phaleria (carrion beetles and flies),Staphylinids (rove beetles),vultures (Coragyps - Cathartes - Vultur - Caracara),Rattus (rat),Clausidium (?),Duscicyon (fox),Larus modestus (gull),Crocethia alba (sanderling),Aetobatus (skate/ray),Rhinobatas (guitarfish - ray),Mustelus (shark),fish (Sciaena - Umbrina - Polynemus),shore birds,Conepatus (skunk),Leucopternis (?),Larus belcheri (gull),Larus pipixcan (gull),Brachystosternus (scorpion),Tropidurus (lizard),swallows - bats - Chordeiles (nighthawk),Falco sparverius (kestrel),Geositta (?),Paralichthys (fish),Pelecanus - Phalacrocorax - Sula (pelican - cormorant - gannet),pandion (osprey),Falco peregrinus (peregrine falcon)
plankton and marine detritus,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diatoms in sand,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diatoms in surface film,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
interstitial fauna (Foraminifera),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
large algae (Macrocystes),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead birds etc. washed in from sea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stream and airborne insects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0
mollusks (Tivela - Donax - Mesodesma) (bivalves),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olivella (gastropod),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Emerita analoga (small crustacean),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Emerita emerita (small crustacean),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excirolana (?),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Blepharipoda (?),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepipoda (?),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callianassa (decapod - lobster),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
