"","Predator","Prey"
"1","Calliostoma nudum","Acanthocyclus albatrossis"
"2","Calliostoma nudum","Anasterias antarctica"
"3","Calliostoma nudum","Eurypodius latreillii"
"4","Calliostoma nudum","Peltarion spinosulum"
"5","Calliostoma nudum","Paralomis granulosa"
"6","Calliostoma nudum","Lithodes santolla"
"7","Crustacea","Acanthocyclus albatrossis"
"8","Crustacea","Eurypodius latreillii"
"9","Crustacea","Pagurus comptus"
"10","Crustacea","Munida gregaria"
"11","Crustacea","Cephalopoda"
"12","Crustacea","Myxine glutinosa"
"13","Crustacea","Peltarion spinosulum"
"14","Crustacea","Bathyraja brachyurops"
"15","Crustacea","Genypterus blacodes"
"16","Crustacea","Bathyraja griseocauda"
"17","Crustacea","Paralomis granulosa"
"18","Crustacea","Bathyraja albomaculata"
"19","Crustacea","Patagonotothen ramsayi"
"20","Crustacea","Polynoidae"
"21","Crustacea","Congiopodus peruvianus"
"22","Crustacea","Raja (Dipturus) chilensis"
"23","Crustacea","Eleginops maclovinus"
"24","Crustacea","Schroederichthys bivius"
"25","Fissurella picta","Acanthocyclus albatrossis"
"26","Fissurella picta","Anasterias antarctica"
"27","Fissurella picta","Eurypodius latreillii"
"28","Fissurella picta","Peltarion spinosulum"
"29","Fissurella picta","Paralomis granulosa"
"30","Fissurella picta","Lithodes santolla"
"31","Gastropoda","Acanthocyclus albatrossis"
"32","Gastropoda","Anasterias antarctica"
"33","Gastropoda","Eurypodius latreillii"
"34","Gastropoda","Munida gregaria"
"35","Gastropoda","Patagonotothen cornucola"
"36","Gastropoda","Dissostichus eleginoides"
"37","Gastropoda","Myxine glutinosa"
"38","Gastropoda","Peltarion spinosulum"
"39","Gastropoda","Bathyraja brachyurops"
"40","Gastropoda","Cottoperca gobio"
"41","Gastropoda","Macruronus magellanicus"
"42","Gastropoda","Bathyraja griseocauda"
"43","Gastropoda","Patagonotothen tessellata"
"44","Gastropoda","Arbacia dufresnii"
"45","Gastropoda","Paralomis granulosa"
"46","Gastropoda","Patagonotothen ramsayi"
"47","Gastropoda","Salilota australis"
"48","Gastropoda","Polynoidae"
"49","Gastropoda","Galaxias maculatus"
"50","Gastropoda","Raja (Dipturus) chilensis"
"51","Gastropoda","Lithodes santolla"
"52","Gastropoda","Odontesthes nigricans"
"53","Isopoda","Acanthocyclus albatrossis"
"54","Isopoda","Anasterias antarctica"
"55","Isopoda","Eurypodius latreillii"
"56","Isopoda","Halicarcinus planatus "
"57","Isopoda","Pagurus comptus"
"58","Isopoda","Harpagifer bispinis"
"59","Isopoda","Munida gregaria"
"60","Isopoda","Patagonotothen cornucola"
"61","Isopoda","Nemertea"
"62","Isopoda","Dissostichus eleginoides"
"63","Isopoda","Bathyraja brachyurops"
"64","Isopoda","Cottoperca gobio"
"65","Isopoda","Genypterus blacodes"
"66","Isopoda","Patagonotothen sp."
"67","Isopoda","Sprattus fuegensis"
"68","Isopoda","Bathyraja griseocauda"
"69","Isopoda","Bathyraja scaphiops"
"70","Isopoda","Patagonotothen longipes"
"71","Isopoda","Patagonotothen sima"
"72","Isopoda","Patagonotothen tessellata"
"73","Isopoda","Arbacia dufresnii"
"74","Isopoda","Paralomis granulosa"
"75","Isopoda","Bathyraja albomaculata"
"76","Isopoda","Paranotothenia magellanica"
"77","Isopoda","Patagonotothen ramsayi"
"78","Isopoda","Salilota australis"
"79","Isopoda","Raja (Dipturus) chilensis"
"80","Isopoda","Austrolycus depressiceps"
"81","Isopoda","Eleginops maclovinus"
"82","Isopoda","Lithodes santolla"
"83","Isopoda","Odontesthes nigricans"
"84","Isopoda","Schroederichthys bivius"
"85","Macroalgae","Calliostoma nudum"
"86","Macroalgae","Fissurella picta"
"87","Macroalgae","Margarella violacea"
"88","Macroalgae","Acanthocyclus albatrossis"
"89","Macroalgae","Crepipatella dilatata"
"90","Macroalgae","Eurypodius latreillii"
"91","Macroalgae","Laevilitorina caliginosa"
"92","Macroalgae","Pagurus comptus"
"93","Macroalgae","Munida gregaria"
"94","Macroalgae","Gammaridea"
"95","Macroalgae","Peltarion spinosulum"
"96","Macroalgae","Bathyraja brachyurops"
"97","Macroalgae","Cottoperca gobio"
"98","Macroalgae","Bathyraja griseocauda"
"99","Macroalgae","Arbacia dufresnii"
"100","Macroalgae","Paralomis granulosa"
"101","Macroalgae","Paranotothenia magellanica"
"102","Macroalgae","Eleginops maclovinus"
"103","Macroalgae","Lithodes santolla"
"104","Macroalgae","Odontesthes nigricans"
"105","Macroalgae","Schroederichthys bivius"
"106","Macrocystis pyrifera","Fissurella picta"
"107","Macrocystis pyrifera","Isopoda"
"108","Macrocystis pyrifera","Margarella violacea"
"109","Macrocystis pyrifera","Acanthocyclus albatrossis"
"110","Macrocystis pyrifera","Amphipoda"
"111","Macrocystis pyrifera","Crepipatella dilatata"
"112","Macrocystis pyrifera","Fissurella oriens"
"113","Macrocystis pyrifera","Nacella deaurata"
"114","Macrocystis pyrifera","Nacella magellanica"
"115","Macrocystis pyrifera","Nacella mytilina"
"116","Macrocystis pyrifera","Plaxiphora sp."
"117","Macrocystis pyrifera","Polyplacophora"
"118","Macrocystis pyrifera","Pseudechinus magellanicus"
"119","Macrocystis pyrifera","Siphonaria lessonii"
"120","Macrocystis pyrifera","Munida gregaria"
"121","Macrocystis pyrifera","Patagonotothen tessellata"
"122","Macrocystis pyrifera","Arbacia dufresnii"
"123","Macrocystis pyrifera","Loxechinus albus"
"124","Macrocystis pyrifera","Paralomis granulosa"
"125","Macrocystis pyrifera","Eleginops maclovinus"
"126","Macrocystis pyrifera","Lithodes santolla"
"127","Margarella violacea","Acanthocyclus albatrossis"
"128","Margarella violacea","Anasterias antarctica"
"129","Margarella violacea","Eurypodius latreillii"
"130","Margarella violacea","Nacella deaurata"
"131","Margarella violacea","Nacella magellanica"
"132","Margarella violacea","Peltarion spinosulum"
"133","Margarella violacea","Arbacia dufresnii"
"134","Margarella violacea","Paralomis granulosa"
"135","Margarella violacea","Asterina fimbriata"
"136","Margarella violacea","Cosmasterias lurida"
"137","Margarella violacea","Lithodes santolla"
"138","Zooplankton","Ostracoda"
"139","Zooplankton","Acanthocyclus albatrossis"
"140","Zooplankton","Ascidiacea"
"141","Zooplankton","Aulacomya atra"
"142","Zooplankton","Crepipatella dilatata"
