Nodes,acanthina monodon,acanthocyclus gayi,acanthocyclus hassleri,acanthopleura echinata,chaetopleura peruviana,chiton  cummingii,chiton  granosus,chiton  latus,lottia  orbigny,concholepas concholepas,enoplochiton  niger,fissurella  costata,fissurella  crassa,fissurella  cummingii,fissurella  limbata,fissurella  maxima,fissurella  picta,fissurella  puhlcra,heliaster helianthus,scurria  araucana,scurria  ceciliana,scurria  plana,scurria scurra,scurria variabilis,scurria viridula,scurria zebrina,siphonaria lesoni,stichaster striatus,tegula atra,tonicia  benaventii,tonicia  chilensis,tonicia  elegans,adenocystis utricularis,ahnfeltiopsis spp.,anthotoe spp.,austromegabalanus psittacus,balanus laevis,benthic_diatoms,brachidontes granulata,bryopsis_spp,bunodactis spp.,centroceras spp.,ceramium spp.,chaetomorpha_spp,chondrus  canaliculatus,cladophora spp.,codium dimorpha,colpomenia phaeodactyla,colpomenia sinuosa,corallina offcinalis var. chilensis,durvillaea antarctica,ectocarpus silicosus,enteromorpha compressa,gelidium rex,gelidium spp.,glossophora kunthii,grateloupia,gymnogongrus furcellatus,halopteris funicularis,hildenbrandia lecanelieri,isolauctis spp.,jhelius cirratus,laurencia chilensis,lessonia nigrescens,mazzaella laminarioides,montemaria horridula,nothobalanus flosculus,lithothamnion spp.,nothochthamalus scabrosus,nothogenia,parantheopsis,perumytilus purpuratus,petalonia fascia,petroglossum spp.,peysonella spp.,phragmatopoma spp.,phymactis spp.,plocamium cartilageneum,polysiphonia_spp,porphyra_spp,prionitis spp,pyura chilensis,ralfsia californica,rama novazelandensis,rhizoclonium cilindricum,rhodymenia sp,sarcothalia,schottera nicaensis,schyzimenia doryophora,scythosiphon lomentaria,semimytilus algosus,trematocarpus,ulva rigida,ulvella spp.,plankton,gulls,cincloides,nodolittorina peruviana,austrolittorina araucana,onchidella,petrolisthes punctatus,petrolisthes spinifrons,petrolisthes angulosus,petrolisthes tuberculatus,petrolisthes tuberculosus,trimusculus peruvianus
acanthina monodon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
acanthocyclus gayi,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
acanthocyclus hassleri,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
acanthopleura echinata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
chaetopleura peruviana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
chiton  cummingii,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
chiton  granosus,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
chiton  latus,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
lottia  orbigny,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
concholepas concholepas,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
