Nodes,Benthic bacteria,Microfauna,Meiofauna,Bacterioplankton,Microprotozoa,Epiphyte-grazing amphipods,Suspension-feeding molluscs,Hermit crabs,Spider crabs (herbivores),Omnivorous crabs,Blue crabs,Isopods,Brittle stars,Deposit-feeding peracaridan crustaceans,Herbivorous shrimps,Predatory shrimps,Catfish and stingrays,Tonguefish,Flounder and needlefish,Southern hake and sea robins,Atlantic silverside and bay anchovies,Sheepshead minnow,Killifishes,Gobies and blennies,Pinfish,Spot,Pipefish and seahorses,Red drum,Deposit-feeding gastropods,Predatory gastropods,Epiphyte-grazing gastropods,Other gastropods,Deposit-feeding polychaetes,Predatory polychaetes,Suspension-feeding polychaetes,Zooplankton,Benthos eating birds,Fish-eating birds,Fish and crustacean-eating birds,Gulls,Raptors,Herbivorous ducks,Halodule,Micro-epiphytes,Macro-epiphytes,Benthic algae,Phytoplankton,Detritus
Benthic bacteria,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microfauna,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meiofauna,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacterioplankton,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Microprotozoa,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Epiphyte-grazing amphipods,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suspension-feeding molluscs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hermit crabs,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Spider crabs (herbivores),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omnivorous crabs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
