,Predator,Prey
1,Anoplopoma fimbria,Acscidia sp.
2,Anoplopoma fimbria,Ammodytes hexapterus
3,Anoplopoma fimbria,Anthozoa
4,Anoplopoma fimbria,Ascidiacea
5,Anoplopoma fimbria,Berryteuthis magister
6,Anoplopoma fimbria,Berryteuthis sp.
7,Anoplopoma fimbria,Bivalvia
8,Anoplopoma fimbria,Buccinidae
9,Anoplopoma fimbria,Calanoida
10,Anoplopoma fimbria,Caridea
11,Anoplopoma fimbria,Chionoecetes bairdi
12,Anoplopoma fimbria,Chionoecetes sp.
13,Anoplopoma fimbria,Cirripedia Apygophora
14,Anoplopoma fimbria,Clupea pallasi
15,Anoplopoma fimbria,Cottidae
16,Anoplopoma fimbria,Crangon communis
17,Anoplopoma fimbria,Crangonidae
18,Anoplopoma fimbria,Cyclopteridae
19,Anoplopoma fimbria,Diastylis sp.
20,Anoplopoma fimbria,Eualus avinus
21,Anoplopoma fimbria,Euphausiacea
22,Anoplopoma fimbria,Fishery discards
23,Anoplopoma fimbria,Gadidae
24,Anoplopoma fimbria,Gadus macrocephalus
25,Anoplopoma fimbria,Gammaridea
26,Anoplopoma fimbria,Gastropoda
27,Anoplopoma fimbria,Hemitripterus bolini
28,Anoplopoma fimbria,Holmesiella anomala
29,Anoplopoma fimbria,Macrouridae
30,Anoplopoma fimbria,Majidae
31,Anoplopoma fimbria,Mallotus villosus
32,Anoplopoma fimbria,Myctophidae
33,Anoplopoma fimbria,Mysidae
34,Anoplopoma fimbria,Neomysis czerniawskii
35,Anoplopoma fimbria,No Code
36,Anoplopoma fimbria,Non-gadoid Fish Remains
37,Anoplopoma fimbria,Octopoda
38,Anoplopoma fimbria,Osteichthyes Teleostei
39,Anoplopoma fimbria,Paguridae
40,Anoplopoma fimbria,Pandalidae
41,Anoplopoma fimbria,Pandalopsis dispar
42,Anoplopoma fimbria,Pandalus borealis
43,Anoplopoma fimbria,Pandalus goniurus
44,Anoplopoma fimbria,Pandalus sp.
45,Anoplopoma fimbria,Pasiphaea pacifica
46,Anoplopoma fimbria,Pleuronectidae
47,Anoplopoma fimbria,Polychaeta
48,Anoplopoma fimbria,Rajidae
49,Anoplopoma fimbria,Sagitta sp.
50,Anoplopoma fimbria,Scyphozoa
51,Anoplopoma fimbria,Sebastes variegatus
52,Anoplopoma fimbria,Sergestidae
53,Anoplopoma fimbria,Sipuncula
54,Anoplopoma fimbria,Stenobrachius leucopsarus
55,Anoplopoma fimbria,Stichaeidae
56,Anoplopoma fimbria,Teuthoidea
57,Anoplopoma fimbria,Teuthoidea oegopsida
58,Anoplopoma fimbria,Thaleichthys pacificus
59,Anoplopoma fimbria,Themisto abyssorum
60,Anoplopoma fimbria,Themisto sp.
61,Anoplopoma fimbria,Theragra chalcogramma
62,Anoplopoma fimbria,Thysanoessa inermis
63,Anoplopoma fimbria,Thysanoessa raschii
64,Anoplopoma fimbria,Zoarcidae
65,Aptocyclus ventricosus,Ammodytes hexapterus
66,Aptocyclus ventricosus,Beroe sp.
67,Aptocyclus ventricosus,Ctenophora
68,Aptocyclus ventricosus,No Code
69,Aptocyclus ventricosus,Unidentified organic material
70,Atheresthes sp.,Theragra chalcogramma
71,Atheresthes stomias,Agonidae
72,Atheresthes stomias,Ammodytes hexapterus
73,Atheresthes stomias,Amphipoda Hyperiidea
74,Atheresthes stomias,Anoplopoma fimbria
75,Atheresthes stomias,Argis sp.
76,Atheresthes stomias,Aspidophoroides bartoni
77,Atheresthes stomias,Atheresthes stomias
78,Atheresthes stomias,Bathylagidae
79,Atheresthes stomias,Bathymaster signatus
80,Atheresthes stomias,Bathymasteridae
81,Atheresthes stomias,Bivalvia
82,Atheresthes stomias,Calanoida
83,Atheresthes stomias,Calanus sp.
84,Atheresthes stomias,Caridea
85,Atheresthes stomias,Cephalopoda
86,Atheresthes stomias,Chaetognatha
87,Atheresthes stomias,Chauliodus macouni
88,Atheresthes stomias,Clupea pallasi
89,Atheresthes stomias,Coregonus
90,Atheresthes stomias,Cottoidei
91,Atheresthes stomias,Crangon communis
92,Atheresthes stomias,Crangon dalli
93,Atheresthes stomias,Crangon sp.
94,Atheresthes stomias,Crangonidae
95,Atheresthes stomias,Crustacea
96,Atheresthes stomias,Echiura
97,Atheresthes stomias,Eualus sp.
98,Atheresthes stomias,Eucarida
99,Atheresthes stomias,Euphausiacea
100,Atheresthes stomias,Euphausiidae
101,Atheresthes stomias,Fishery discards
102,Atheresthes stomias,Flabellifera
103,Atheresthes stomias,Gadidae
104,Atheresthes stomias,Gadus macrocephalus
105,Atheresthes stomias,Gammaridea
106,Atheresthes stomias,Gonatus sp.
107,Atheresthes stomias,Hemilepidotus hemilepidotus
108,Atheresthes stomias,Hexagrammos decagrammus
109,Atheresthes stomias,Hippoglossoides elassodon
110,Atheresthes stomias,Hippoglossus stenolepis
111,Atheresthes stomias,Hippolytidae
112,Atheresthes stomias,Isopoda
113,Atheresthes stomias,Lepidopsetta sp.
114,Atheresthes stomias,Lumpenus maculatus
115,Atheresthes stomias,Malacostraca
116,Atheresthes stomias,Mallotus villosus
117,Atheresthes stomias,Myctophidae
118,Atheresthes stomias,Mysidacea Mysida
119,Atheresthes stomias,Mysidae
120,Atheresthes stomias,Natantia
121,Atheresthes stomias,No Code
122,Atheresthes stomias,Non-gadoid Fish Remains
123,Atheresthes stomias,Oncorhynchus keta
124,Atheresthes stomias,Oncorhynchus kisutch
125,Atheresthes stomias,Oncorhynchus nerka
126,Atheresthes stomias,Ophiuroidae Ophiurida
127,Atheresthes stomias,Osmeridae
128,Atheresthes stomias,Osteichthyes Teleostei
129,Atheresthes stomias,Paguridae
130,Atheresthes stomias,Pandalidae
131,Atheresthes stomias,Pandalopsis dispar
132,Atheresthes stomias,Pandalus borealis
133,Atheresthes stomias,Pandalus platyceros
134,Atheresthes stomias,Pandalus sp.
135,Atheresthes stomias,Pleurogrammus monopterygius
136,Atheresthes stomias,Pleuronectes asper
137,Atheresthes stomias,Pleuronectidae
138,Atheresthes stomias,Pleuronectiformes Pleuronectoidei
139,Atheresthes stomias,Podothecus acipenserinus
140,Atheresthes stomias,Polychaeta
141,Atheresthes stomias,Ronquilis jordani
142,Atheresthes stomias,Salmonidae
143,Atheresthes stomias,Sebastes sp.
144,Atheresthes stomias,Stichaeidae
145,Atheresthes stomias,Terebellida
146,Atheresthes stomias,Terebellidae
147,Atheresthes stomias,Teuthoidea
148,Atheresthes stomias,Thaleichthys pacificus
149,Atheresthes stomias,Themisto sp.
150,Atheresthes stomias,Theragra chalcogramma
151,Atheresthes stomias,Thysanoessa inermis
152,Atheresthes stomias,Thysanoessa sp.
153,Atheresthes stomias,Triglops sp.
154,Atheresthes stomias,Unidentified organic material
155,Atheresthes stomias,Vibilia sp.
156,Atheresthes stomias,Zoarcidae
157,Coryphaenoides pectoralis,Caridea
158,Coryphaenoides pectoralis,Osteichthyes Teleostei
159,Coryphaenoides pectoralis,Polychaeta
160,Coryphaenoides pectoralis,Teuthoidea
161,Errex zachirus,Caridea
162,Errex zachirus,Copepoda
163,Errex zachirus,Crangon sp.
164,Errex zachirus,Crustacea
165,Errex zachirus,Decapoda brachyura
166,Errex zachirus,Echiuridae
167,Errex zachirus,Euphausiacea
168,Errex zachirus,Gastropoda
169,Errex zachirus,No Code
170,Errex zachirus,Ophiuridae
171,Errex zachirus,Polychaeta
172,Errex zachirus,Unidentified material
173,Errex zachirus,Unidentified organic material
174,Gadus macrocephalus,Acantholithodes hispidus
175,Gadus macrocephalus,Agonidae
176,Gadus macrocephalus,Ammodytes hexapterus
177,Gadus macrocephalus,Ammodytes sp.
178,Gadus macrocephalus,Ampeliscidae
179,Gadus macrocephalus,Ampharetidae
180,Gadus macrocephalus,Amphipoda
181,Gadus macrocephalus,Anomura
182,Gadus macrocephalus,Anonyx sp.
183,Gadus macrocephalus,Anthozoa
184,Gadus macrocephalus,Aphroditidae
185,Gadus macrocephalus,Argis alaskensis
186,Gadus macrocephalus,Argis dentata
187,Gadus macrocephalus,Argis lar
188,Gadus macrocephalus,Argis ovifer
189,Gadus macrocephalus,Argis sp.
190,Gadus macrocephalus,Artacama sp.
191,Gadus macrocephalus,Artediellus sp.
192,Gadus macrocephalus,Artedius sp.
193,Gadus macrocephalus,Ascidiacea
194,Gadus macrocephalus,Asteriidae
195,Gadus macrocephalus,Asteroidea
196,Gadus macrocephalus,Asterotheca alascana
197,Gadus macrocephalus,Asterotheca pentacanthus
198,Gadus macrocephalus,Asterotheca sp.
199,Gadus macrocephalus,Atheresthes sp.
200,Gadus macrocephalus,Atheresthes stomias
201,Gadus macrocephalus,Balanomorpha
202,Gadus macrocephalus,Bathymaster signatus
203,Gadus macrocephalus,Bathymaster sp.
204,Gadus macrocephalus,Bivalvia
205,Gadus macrocephalus,Boltenia sp.
206,Gadus macrocephalus,Brada sp.
207,Gadus macrocephalus,Buccinidae
208,Gadus macrocephalus,Buccinum sp.
209,Gadus macrocephalus,Calanoida
210,Gadus macrocephalus,Cancer oregonensis
211,Gadus macrocephalus,Cancer sp.
212,Gadus macrocephalus,Caprellidea
213,Gadus macrocephalus,Cardiidae
214,Gadus macrocephalus,Caridea
215,Gadus macrocephalus,Cephalopoda
216,Gadus macrocephalus,Chionoecetes bairdi
217,Gadus macrocephalus,Chionoecetes opilio
218,Gadus macrocephalus,Chionoecetes sp.
219,Gadus macrocephalus,Cirripedia
220,Gadus macrocephalus,Clinocardium sp.
221,Gadus macrocephalus,Clinocardium sp.
222,Gadus macrocephalus,Clupea pallasi
223,Gadus macrocephalus,Clupea pallasi
224,Gadus macrocephalus,Colus halli
225,Gadus macrocephalus,Cottidae
226,Gadus macrocephalus,Crangon alaskensis
227,Gadus macrocephalus,Crangon communis
228,Gadus macrocephalus,Crangon dalli
229,Gadus macrocephalus,Crangon sp.
230,Gadus macrocephalus,Crangon stylirostris
231,Gadus macrocephalus,Crangonidae
232,Gadus macrocephalus,Crustacea
233,Gadus macrocephalus,Cryptacanthodes aleutensis
234,Gadus macrocephalus,Cryptacanthodidae
235,Gadus macrocephalus,Cumacea
236,Gadus macrocephalus,Cyclopteridae
237,Gadus macrocephalus,Dasycottus setiger
238,Gadus macrocephalus,Decapoda
239,Gadus macrocephalus,Decapoda brachyura
240,Gadus macrocephalus,Echinacea sp.
241,Gadus macrocephalus,Echinodermata
242,Gadus macrocephalus,Echiura
243,Gadus macrocephalus,Echiuroinea
244,Gadus macrocephalus,Echiurus echiurus
245,Gadus macrocephalus,Ectoprocta
246,Gadus macrocephalus,Elassachirus tenuimanus
247,Gadus macrocephalus,Elassochirus sp.
248,Gadus macrocephalus,Erimacrus isenbeckii
249,Gadus macrocephalus,Errex zachirus
250,Gadus macrocephalus,Eualus avinus
251,Gadus macrocephalus,Eualus barbata
252,Gadus macrocephalus,Eualus biunguis
253,Gadus macrocephalus,Eualus pusiolus
254,Gadus macrocephalus,Eualus sp.
255,Gadus macrocephalus,Eualus stoneyi
256,Gadus macrocephalus,Eualus townsendi
257,Gadus macrocephalus,Eumicrotremus orbis
258,Gadus macrocephalus,Euphausiacea
259,Gadus macrocephalus,Fish eggs
260,Gadus macrocephalus,Fishery discards
261,Gadus macrocephalus,Flabellifera
262,Gadus macrocephalus,Gadidae
263,Gadus macrocephalus,Galatheidae
264,Gadus macrocephalus,Gammaridea
265,Gadus macrocephalus,Gastropoda
266,Gadus macrocephalus,Golfingia margaritacea
267,Gadus macrocephalus,Goniadidae
268,Gadus macrocephalus,Gymnosomata
269,Gadus macrocephalus,Heptacarpus sp.
270,Gadus macrocephalus,Hexagrammidae
271,Gadus macrocephalus,Hippoglossis sp.
272,Gadus macrocephalus,Hippoglossoides elassodon
273,Gadus macrocephalus,Hippoglossoides robustus
274,Gadus macrocephalus,Hippoglossus stenolepis
275,Gadus macrocephalus,Hippolytidae
276,Gadus macrocephalus,Holmesiella anomala
277,Gadus macrocephalus,Hyas coarctatus
278,Gadus macrocephalus,Hyas lyratus
279,Gadus macrocephalus,Hyas sp.
280,Gadus macrocephalus,Hydrozoa
281,Gadus macrocephalus,Hyperiidae
282,Gadus macrocephalus,Icelidae
283,Gadus macrocephalus,Icelinus borealis
284,Gadus macrocephalus,Icelus spiniger
285,Gadus macrocephalus,Insecta
286,Gadus macrocephalus,Isaeidae
287,Gadus macrocephalus,Isopoda
288,Gadus macrocephalus,Lebbeus groenlandicus
289,Gadus macrocephalus,Lebbeus sp.
290,Gadus macrocephalus,Lepidopsetta sp.
291,Gadus macrocephalus,Leuconidae
292,Gadus macrocephalus,Lopholithodes foraminatus
293,Gadus macrocephalus,Lopholithodes sp.
294,Gadus macrocephalus,Lumpenella longirostris
295,Gadus macrocephalus,Lumpenus fabricii
296,Gadus macrocephalus,Lumpenus maculatus
297,Gadus macrocephalus,Lumpenus sp.
298,Gadus macrocephalus,Lycodes brevipes
299,Gadus macrocephalus,Lycodes diapterus
300,Gadus macrocephalus,Lycodes sp.
301,Gadus macrocephalus,Majidae
302,Gadus macrocephalus,Majidae legs
303,Gadus macrocephalus,Mallotus villosus
304,Gadus macrocephalus,Melinna
305,Gadus macrocephalus,Metacrangon munita
306,Gadus macrocephalus,Meterythrops sp.
307,Gadus macrocephalus,Microgadus proximus
308,Gadus macrocephalus,Mollusca
309,Gadus macrocephalus,Munida quadrispina
310,Gadus macrocephalus,Mya sp.
311,Gadus macrocephalus,Mysidae
312,Gadus macrocephalus,Natica sp.
313,Gadus macrocephalus,Neomysis rayii
314,Gadus macrocephalus,Neptunea sp.
315,Gadus macrocephalus,Neptuneidae
316,Gadus macrocephalus,Nereidae
317,Gadus macrocephalus,No Code
318,Gadus macrocephalus,Non-gadoid Fish Remains
319,Gadus macrocephalus,Nudibranchia dendronotoidea
320,Gadus macrocephalus,Octopoda
321,Gadus macrocephalus,Onuphidae
322,Gadus macrocephalus,Ophiura sp.
323,Gadus macrocephalus,Ophiuroidae Ophiurida
324,Gadus macrocephalus,Ophiuroidae ophiurida chilophiurina
325,Gadus macrocephalus,Oregonia bifurca
326,Gadus macrocephalus,Oregonia gracilis
327,Gadus macrocephalus,Oregonia sp.
328,Gadus macrocephalus,Osteichthyes Teleostei
329,Gadus macrocephalus,Paguridae
330,Gadus macrocephalus,Pagurus aleuticus
331,Gadus macrocephalus,Pagurus rathbuni
332,Gadus macrocephalus,Pagurus sp.
333,Gadus macrocephalus,Pandalidae
334,Gadus macrocephalus,Pandalopsis dispar
335,Gadus macrocephalus,Pandalopsis sp.
336,Gadus macrocephalus,Pandalus borealis
337,Gadus macrocephalus,Pandalus goniurus
338,Gadus macrocephalus,Pandalus jordani
339,Gadus macrocephalus,Pandalus montagui tridens
340,Gadus macrocephalus,Pandalus sp.
341,Gadus macrocephalus,Paralithodes sp.
342,Gadus macrocephalus,Pasiphaea pacifica
343,Gadus macrocephalus,Pectinariidae
344,Gadus macrocephalus,Pectinidae
345,Gadus macrocephalus,Phyllodocida
346,Gadus macrocephalus,Phyllodocidae
347,Gadus macrocephalus,Pinnixa sp.
348,Gadus macrocephalus,Pinnotheridae
349,Gadus macrocephalus,Placetron wosnessenskii
350,Gadus macrocephalus,Pleuronectidae
351,Gadus macrocephalus,Pleuronectiformes Pleuronectoidei
352,Gadus macrocephalus,Polychaeta
353,Gadus macrocephalus,Porifera
354,Gadus macrocephalus,Poroclinus rothrocki
355,Gadus macrocephalus,Pseudomma sp.
356,Gadus macrocephalus,Reptantia
357,Gadus macrocephalus,Rhynocrangon alata
358,Gadus macrocephalus,Rocks
359,Gadus macrocephalus,Sarritor frenatus
360,Gadus macrocephalus,Sclerocrangon
361,Gadus macrocephalus,Scorpaenidae
362,Gadus macrocephalus,Sebastolobus alascanus
363,Gadus macrocephalus,Serpulidae
364,Gadus macrocephalus,Sipuncula
365,Gadus macrocephalus,Spirontocaris arcuata
366,Gadus macrocephalus,Spirontocaris lamellicornis
367,Gadus macrocephalus,Spirontocaris ochotensis
368,Gadus macrocephalus,Spirontocaris sp.
369,Gadus macrocephalus,Stichaeidae
370,Gadus macrocephalus,Strongylocentrotus sp.
371,Gadus macrocephalus,Teuthoidea
372,Gadus macrocephalus,Teuthoidea Myopsida
373,Gadus macrocephalus,Thaleichthys pacificus
374,Gadus macrocephalus,Themisto sp.
375,Gadus macrocephalus,Theragra chalcogramma
376,Gadus macrocephalus,Thysanoessa spinifera
377,Gadus macrocephalus,Trichodon trichodon
378,Gadus macrocephalus,Unidentified algae
379,Gadus macrocephalus,Unidentified eggs
380,Gadus macrocephalus,Unidentified material
381,Gadus macrocephalus,Unidentified tube
382,Gadus macrocephalus,Unidentified worm-like organism
383,Gadus macrocephalus,Wood
384,Gadus macrocephalus,Zoarcidae
385,Hemilepidotus jordani,Bivalvia
386,Hemilepidotus jordani,Caridea
387,Hemilepidotus jordani,Chionoecetes bairdi
388,Hemilepidotus jordani,Osteichthyes Teleostei
389,Hemilepidotus jordani,Paguridae
390,Hemilepidotus jordani,Polychaeta
391,Hemitripterus bolini,Theragra chalcogramma
392,Hippoglossoides elassodon,Amphipoda Hyperiidea
393,Hippoglossoides elassodon,Aphroditidae
394,Hippoglossoides elassodon,Arabellidae
395,Hippoglossoides elassodon,Argis lar
396,Hippoglossoides elassodon,Bivalvia
397,Hippoglossoides elassodon,Cancer magister
398,Hippoglossoides elassodon,Caridea
399,Hippoglossoides elassodon,Chionoecetes sp.
400,Hippoglossoides elassodon,Crangon communis
401,Hippoglossoides elassodon,Crangon sp.
402,Hippoglossoides elassodon,Crangonidae
403,Hippoglossoides elassodon,Crustacea
404,Hippoglossoides elassodon,Cumacea
405,Hippoglossoides elassodon,Eualus sp.
406,Hippoglossoides elassodon,Euphausia pacifica
407,Hippoglossoides elassodon,Euphausia sp.
408,Hippoglossoides elassodon,Euphausiidae
409,Hippoglossoides elassodon,Gammaridea
410,Hippoglossoides elassodon,Hippoglossoides elassodon
411,Hippoglossoides elassodon,Hippolytidae
412,Hippoglossoides elassodon,Isopoda
413,Hippoglossoides elassodon,Lumpenus sagitta
414,Hippoglossoides elassodon,Macoma sp.
415,Hippoglossoides elassodon,Malacocottus kincaidi
416,Hippoglossoides elassodon,Maldanidae
417,Hippoglossoides elassodon,Mallotus villosus
418,Hippoglossoides elassodon,Mysidae
419,Hippoglossoides elassodon,Natantia
420,Hippoglossoides elassodon,Nephtyidae
421,Hippoglossoides elassodon,No Code
422,Hippoglossoides elassodon,Non-gadoid Fish Remains
423,Hippoglossoides elassodon,Nucula sp.
424,Hippoglossoides elassodon,Nuculana sp.
425,Hippoglossoides elassodon,Nuculidae
426,Hippoglossoides elassodon,Ophiuroidea Euryalina
427,Hippoglossoides elassodon,Osteichthyes Teleostei
428,Hippoglossoides elassodon,Paguridae
429,Hippoglossoides elassodon,Pandalidae
430,Hippoglossoides elassodon,Pandalus borealis
431,Hippoglossoides elassodon,Pandalus sp.
432,Hippoglossoides elassodon,Pinnixa sp.
433,Hippoglossoides elassodon,Polychaeta
434,Hippoglossoides elassodon,Polynoidae
435,Hippoglossoides elassodon,Reptantia
436,Hippoglossoides elassodon,Tapes sp.
437,Hippoglossoides elassodon,Theragra chalcogramma
438,Hippoglossoides elassodon,Thysanoessa sp.
