Nodes,Pico-nanophytoplankton,Microphytoplankton,Microphytobenthos,Posidonia,Benthic macrophytes,Microzooplankton,Mesozooplankton,Macrozooplankton,Gelatinous,Worms,Bivalves-Gastropods,Octopuses,Cuttlefish-squids,Benthic crustaceans,Lobsters,Echinoderms,Other benthic invertebrates,European pilchard,European anchovy,Other planktonophagous fishes,Fish (feeding on plants),Atlantic mackerel,Mediterranean horse mackerel,Blue whiting,Atlantic bluefin tuna,Hake,Atlantic horse mackerel,Anglerfish,European conger,Poor cod,Pelagic fish (feeding on fish),Benthos-demersal fish (feeding on fish),Fishes (feeding on benthic crustaceans),Gilthead seabream,Fish (feeding on polychaetes),Seabirds,Dolphins ,Whales,Detritus
Pico-nanophytoplankton,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microphytoplankton,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microphytobenthos,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Posidonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthic macrophytes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microzooplankton,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesozooplankton,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Macrozooplankton,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Gelatinous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Worms,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
