Nodes,Hyperiidea,Carinaria sp.,Scomber sp.,Euthynnus alletteratus,Cephalopoda nd,Teleostei nd,Moroteuthis sp.,Decapod crustacea,Thunnus sp.,Diaphus sp.,Architeuthis sp.,Gonostoma elongatum,Octopus sp.,Decapterus sp.,Cavolinia tridentata,Moroteuthis robsoni,Decapod megalopa,Parexocoetus sp.,Onychoteuthis sp.,Pseudoscopelus sp.,Scomberomorus sp.,Decapterus koheru,Alepisaurus sp.,Sudis atrox,Argonauta sp.,Emmelichthys nitidus nitidus,Tetragonurus sp.,Scomberesox saurus scomberoides,Histioteuthis sp.,Dolphin,Euthynnus sp.,Trachurus sp.,Sternoptyx sp.,Gempylidae,Crustacea nd,Auxis rochei rochei,Stomatopoda nd,Brama sp.,Lycoteuthis lorigera,Histioteuthis bonellii,Histioteuthis miranda,Ommastrephidae,Eucleoteuthis luminosa,Nototodarus gouldi,Nototodarus sloanii,Ommastrephes bartramii,Ornithoteuthis volatilis,Todarodes filippovae,Todaropsis eblanae,Thysanoteuthis rhombus,Octopodidae,Argonauta nodosa,Atlantidae,Platyscelus ovoides,Salpidae,Isurus oxyrinchus,Lamna nasus,Alopias superciliosus,Carcharhinus brachyurus,Carcharhinus obscurus,Prionace glauca,Carcharhinus falciformis,Sphyrna lewini,Sphyrna zygaena, neopilchardus,Phosichthys argenteus,Myctophidae,Alepisaurus ferox,Alepisaurus brevirostris,Exocoetidae,Hemiramphidae,Belonidae,Trachichthyidae,Lampris guttatus,Trachipteridae,Apogonops anomalus,Carangidae,Trachurus declivis,Coryphaena hippurus,Brama brama,Brama orcini,Thyrsites atun,Ruvettus pretiosus,Lepidocybium flavobrunneum,Gempylus serpens,Trichiuridae,Scombridae,Scomber australasicus,Thunnus albacares,Katsuwonus pelamis,Thunnus maccoyii,Thunnus alalunga,Thunnus obesus,Sarda australis,Acanthocybium solandri,Xiphias gladius,Tetrapturus audax,Makaira nigricans,Makaira indica,Tetrapturus angustirostris,Centrolophus niger,Psenes pellucidus,Cubiceps baxteri,Cubiceps pauciradiatus,Balistidae,Monacanthidae,Tetraodontidae,Diodontidae
Hyperiidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carinaria sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scomber sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euthynnus alletteratus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cephalopoda nd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teleostei nd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moroteuthis sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decapod crustacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thunnus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diaphus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
