"","Predator","Prey"
"1","Gymnodinium","Prymnesiophyceae"
"2","Gymnodinium","Thalassiosirales"
"3","Gymnodinium","Cyanophycota"
"4","Peridinium","Gymnodinium"
"5","Peridinium","Peridinium"
"6","Peridinium","Scrippsiella"
"7","Peridinium","Ditylum brightwellii"
"8","Peridinium","Prorocentrum"
"9","Protoperidinium","Gymnodinium"
"10","Protoperidinium","Protoperidinium"
"11","Protoperidinium","Ceratium"
"12","Protoperidinium","Scrippsiella"
"13","Protoperidinium","Ditylum brightwellii"
"14","Protoperidinium","Bacillariaceae"
"15","Protoperidinium","Thalassiosirales"
"16","Protoperidinium","Acartia"
"17","Protoperidinium","Prorocentrum"
"18","Gonyaulax","Scrippsiella"
"19","Gonyaulax","Prymnesiophyceae"
"20","Gonyaulax","Thalassiosirales"
"21","Gonyaulax","Cyanophycota"
"22","Gonyaulax","Prorocentrum"
"23","Scrippsiella","Thalassiosirales"
"24","Scrippsiella","Cyanophycota"
"25","Chrysophyta","Bacteria"
"26","Chrysophyta","Detritus complex"
"27","Echiura","Detritus complex"
"28","Phoronida","Gonyaulax"
"29","Phoronida","Ceratium"
"30","Phoronida","Coscinodiscus"
"31","Phoronida","Chaetoceros"
"32","Phoronida","Detritus complex"
"33","Gymnolaemata","Chrysophyta"
"34","Gymnolaemata","Bacteria"
"35","Gymnolaemata","Prymnesiophyceae"
"36","Gymnolaemata","Thalassiosirales"
"37","Gymnolaemata","Prasinophyceae"
"38","Ctenodiscus crispatus","Detritus complex"
"39","Crossaster papposus","Gymnolaemata"
"40","Crossaster papposus","Crossaster papposus"
"41","Crossaster papposus","Asterias"
"42","Crossaster papposus","Ophiuroidea"
"43","Crossaster papposus","Strongylocentrotus droebachiensis"
"44","Crossaster papposus","Echinarachnius parma"
"45","Crossaster papposus","Psolus"
"46","Crossaster papposus","Cucumaria"
"47","Crossaster papposus","Aspidochirotacea"
"48","Crossaster papposus","Aplidium"
"49","Crossaster papposus","Myoxocephalus"
"50","Crossaster papposus","Hydrozoa"
"51","Crossaster papposus","Octocorallia"
"52","Crossaster papposus","Clupea pallasii"
"53","Crossaster papposus","Crepidula"
"54","Crossaster papposus","Naticidae"
"55","Crossaster papposus","Buccinidae"
"56","Crossaster papposus","Cephalaspidea"
"57","Crossaster papposus","Mytilus"
"58","Crossaster papposus","Pectinidae"
"59","Crossaster papposus","Clinocardium"
"60","Crossaster papposus","Mya"
"61","Crossaster papposus","Balanus crenatus"
"62","Crossaster papposus","Caprellidae"
"63","Crossaster papposus","Paralithodes"
"64","Crossaster papposus","Leptasterias"
"65","Crossaster papposus","Metridium senile"
"66","Crossaster papposus","Archidoris odhneri"
"67","Crossaster papposus","Triopha catalinae"
"68","Crossaster papposus","Hermissenda crassicornis"
"69","Solaster dawsoni","Crossaster papposus"
"70","Solaster dawsoni","Solaster dawsoni"
"71","Solaster dawsoni","Henricia"
"72","Solaster dawsoni","Evasterias troschelii"
"73","Solaster dawsoni","Pycnopodia helianthoides"
"74","Solaster dawsoni","Strongylocentrotus droebachiensis"
"75","Solaster dawsoni","Psolus"
"76","Solaster dawsoni","Cucumaria"
"77","Solaster dawsoni","Aspidochirotacea"
"78","Solaster dawsoni","Octocorallia"
"79","Solaster dawsoni","Balanus crenatus"
"80","Solaster dawsoni","Solaster stimpsoni"
"81","Solaster dawsoni","Dermasterias imbricata"
"82","Solaster dawsoni","Leptasterias"
"83","Solaster dawsoni","Eupentacta"
"84","Solaster endeca","Gymnolaemata"
"85","Solaster endeca","Strongylocentrotus droebachiensis"
"86","Solaster endeca","Echinarachnius parma"
"87","Solaster endeca","Psolus"
"88","Solaster endeca","Cucumaria"
"89","Solaster endeca","Aspidochirotacea"
"90","Solaster endeca","Leptasterias"
"91","Solaster endeca","Eupentacta"
"92","Pteraster tesselatus","Aplidium"
"93","Pteraster tesselatus","Hydrozoa"
"94","Pteraster tesselatus","Pectinidae"
"95","Pteraster tesselatus","Pododesmus"
"96","Pteraster tesselatus","Halichondria panicea"
"97","Henricia","Gymnolaemata"
"98","Henricia","Bacteria"
"99","Henricia","Detritus complex"
"100","Henricia","Halichondria panicea"
"101","Asterias","Asterias"
"102","Asterias","Ophiuroidea"
"103","Asterias","Strongylocentrotus droebachiensis"
"104","Asterias","Echinarachnius parma"
"105","Asterias","Cucumaria"
"106","Asterias","Halocynthia"
"107","Asterias","Lottia testudinalis"
"108","Asterias","Serpulidae"
"109","Asterias","Trochidae"
"110","Asterias","Lacuna"
"111","Asterias","Littorina"
"112","Asterias","Crepidula"
"113","Asterias","Naticidae"
"114","Asterias","Buccinidae"
"115","Asterias","Tonicella"
"116","Asterias","Nuculidae"
"117","Asterias","Mytilus"
"118","Asterias","Modiolus"
"119","Asterias","Pectinidae"
"120","Asterias","Ostreidae"
"121","Asterias","Clinocardium"
"122","Asterias","Mactromeris"
"123","Asterias","Macoma"
"124","Asterias","Mya"
"125","Asterias","Hiatellidae"
"126","Asterias","Balanus crenatus"
"127","Asterias","Chionoecetes opilio"
"128","Asterias","Detritus complex"
"129","Asterias","Leptasterias"
"130","Asterias","Semibalanus balanoides"
"131","Evasterias troschelii","Boltenia"
"132","Evasterias troschelii","Lottia testudinalis"
"133","Evasterias troschelii","Lottia pelta"
"134","Evasterias troschelii","Lottia scutum"
"135","Evasterias troschelii","Balanus nubilus"
"136","Evasterias troschelii","Trochidae"
"137","Evasterias troschelii","Littorina"
"138","Evasterias troschelii","Nucella lamellosa"
"139","Evasterias troschelii","Nucella lima"
"140","Evasterias troschelii","Tonicella"
"141","Evasterias troschelii","Katharina tunicata"
"142","Evasterias troschelii","Mytilus"
"143","Evasterias troschelii","Modiolus"
"144","Evasterias troschelii","Pectinidae"
"145","Evasterias troschelii","Pododesmus"
"146","Evasterias troschelii","Saxidomus"
"147","Evasterias troschelii","Protothaca staminea"
"148","Evasterias troschelii","Mya"
"149","Evasterias troschelii","Hiatellidae"
"150","Evasterias troschelii","Balanus crenatus"
"151","Evasterias troschelii","Terebratalia transversa"
"152","Evasterias troschelii","Pyura"
"153","Evasterias troschelii","Balanus glandula"
"154","Evasterias troschelii","Semibalanus balanoides"
"155","Evasterias troschelii","Semibalanus cariosus"
"156","Pycnopodia helianthoides","Crossaster papposus"
"157","Pycnopodia helianthoides","Solaster dawsoni"
"158","Pycnopodia helianthoides","Evasterias troschelii"
"159","Pycnopodia helianthoides","Pycnopodia helianthoides"
"160","Pycnopodia helianthoides","Strongylocentrotus droebachiensis"
"161","Pycnopodia helianthoides","Strongylocentrotus franciscanus"
"162","Pycnopodia helianthoides","Psolus"
"163","Pycnopodia helianthoides","Cucumaria"
"164","Pycnopodia helianthoides","Aspidochirotacea"
"165","Pycnopodia helianthoides","Crinoidea"
"166","Pycnopodia helianthoides","Clupea pallasii"
"167","Pycnopodia helianthoides","Enteroctopus dofleini"
"168","Pycnopodia helianthoides","Lottia digitalis"
"169","Pycnopodia helianthoides","Lottia pelta"
"170","Pycnopodia helianthoides","Lottia scutum"
"171","Pycnopodia helianthoides","Pectinariidae"
"172","Pycnopodia helianthoides","Trochidae"
"173","Pycnopodia helianthoides","Littorina"
"174","Pycnopodia helianthoides","Trichotropis cancellata"
"175","Pycnopodia helianthoides","Naticidae"
"176","Pycnopodia helianthoides","Fusitriton"
"177","Pycnopodia helianthoides","Nucella lamellosa"
"178","Pycnopodia helianthoides","Buccinidae"
"179","Pycnopodia helianthoides","Katharina tunicata"
"180","Pycnopodia helianthoides","Nuculana"
"181","Pycnopodia helianthoides","Mytilus"
"182","Pycnopodia helianthoides","Modiolus"
"183","Pycnopodia helianthoides","Pectinidae"
"184","Pycnopodia helianthoides","Pododesmus"
"185","Pycnopodia helianthoides","Clinocardium"
"186","Pycnopodia helianthoides","Tresus"
"187","Pycnopodia helianthoides","Macoma"
"188","Pycnopodia helianthoides","Saxidomus"
"189","Pycnopodia helianthoides","Protothaca staminea"
"190","Pycnopodia helianthoides","Hiatellidae"
"191","Pycnopodia helianthoides","Balanus crenatus"
"192","Pycnopodia helianthoides","Paguridae"
"193","Pycnopodia helianthoides","Cancer"
"194","Pycnopodia helianthoides","Detritus complex"
"195","Pycnopodia helianthoides","Terebratalia transversa"
"196","Pycnopodia helianthoides","Dermasterias imbricata"
"197","Pycnopodia helianthoides","Leptasterias"
"198","Pycnopodia helianthoides","Eupentacta"
"199","Pycnopodia helianthoides","Mopalia"
"200","Pycnopodia helianthoides","Cryptochiton stelleri"
"201","Pycnopodia helianthoides","Entodesma"
"202","Pycnopodia helianthoides","Chthamalus dalli"
"203","Pycnopodia helianthoides","Balanus glandula"
"204","Pycnopodia helianthoides","Semibalanus cariosus"
"205","Ophiuroidea","Echiura"
"206","Ophiuroidea","Aspidochirotacea"
"207","Ophiuroidea","Chaetognatha"
"208","Ophiuroidea","Bacteria"
"209","Ophiuroidea","Prymnesiophyceae"
"210","Ophiuroidea","Coscinodiscus"
"211","Ophiuroidea","Foraminiferida"
"212","Ophiuroidea","Radiolaria"
"213","Ophiuroidea","Hydrozoa"
"214","Ophiuroidea","Polynoidae"
"215","Ophiuroidea","Sigalionidae"
"216","Ophiuroidea","Nephtyidae"
"217","Ophiuroidea","Paraonidae"
"218","Ophiuroidea","Spionidae"
"219","Ophiuroidea","Flabelligeridae"
"220","Ophiuroidea","Opheliidae"
"221","Ophiuroidea","Maldanidae"
