Prey,Predator
Detritus,Abatus cavernosus 
Detritus,Abatus curvidens
Detritus,Abatus nimrodi
Detritus,Abatus shackeltoni
Detritus,Abyssocucumis liouvillei
Phytoplankton,Abyssocucumis liouvillei
Detritus,Abyssorchomene nodimanus
Fish,Abyssorchomene nodimanus
Holothuria sp,Abyssorchomene nodimanus
Octopoda,Abyssorchomene nodimanus
Polychaeta,Abyssorchomene nodimanus
Bacillariophyta,Abyssorchomene plebs 
Crustacea,Abyssorchomene plebs 
Detritus,Abyssorchomene plebs 
Euphausia superba,Abyssorchomene plebs 
Bacillariophyta,Abyssorchomene rossi
Copepoda,Abyssorchomene rossi
Detritus,Abyssorchomene rossi
Polychaeta,Abyssorchomene rossi
Porifera,Abyssorchomene rossi
Detritus,Achlyonice violaecuspidata
Haliclona dancoi,Acodontaster conspicuus
Homaxinella balfourensis,Acodontaster conspicuus
Kirkpatrickia variolosa,Acodontaster conspicuus
Mycale acerata,Acodontaster conspicuus
Rossella racovitzae,Acodontaster conspicuus
Scolymastra joubini,Acodontaster conspicuus
Tetilla leptoderma,Acodontaster conspicuus
Phytoplankton,Actinaria
Decapoda,Adamussium colbecki
Detritus,Aega antarctica
Porifera,Aegires albus
Amphipoda,Aethotaxis mitopteryx
Copepoda,Aethotaxis mitopteryx
Crustacea,Aethotaxis mitopteryx
Cumacea,Aethotaxis mitopteryx
Isopoda,Aethotaxis mitopteryx
Mysidacea,Aethotaxis mitopteryx
Polychaeta,Aethotaxis mitopteryx
Bacillariophyta,Alacia belgicae
Detritus,Alacia belgicae
Phytoplankton,Alacia belgicae
Bacillariophyta,Alacia hettacra
Detritus,Alacia hettacra
Phytoplankton,Alacia hettacra
Bacillariophyta,Alcyonidium sp
Detritus,Alcyonidium sp
Nanoplankton,Alcyonidium sp
Phytoplankton,Alcyonium antarcticum
Ophiuroidea,Alexandrella mixta
Euphausia superba,Alluroteuthis antarcticus
Pleuragramma antarcticum,Alluroteuthis antarcticus
Psychroteuthis glacialis,Alluroteuthis antarcticus
Detritus,Alomasoma belyaevi
Cyclocardia astartoides,Amauropsis rossiana
Euphausia superba,Amauropsis rossiana
Philobrya sublaevis,Amauropsis rossiana
Trophon longstaffi,Amauropsis rossiana
Bryozoa,Ammothea carolinensis
Ctenophora,Ammothea carolinensis
Gastropoda,Ammothea carolinensis
Ophiuroidea,Ammothea carolinensis
Polychaeta,Ammothea carolinensis
Porifera,Ammothea carolinensis
Bacillariophyta,Ampelisca richardsoni
Detritus,Ampelisca richardsoni
Detritus,Amphipoda
Bacillariophyta,Antarctomysis maxima
Detritus,Antarctomysis maxima
Zooplankton,Antarctomysis maxima
Bacillariophyta,Anthomastus bathyproctus
Detritus,Anthomastus bathyproctus
Salpa thompsoni,Anthomastus bathyproctus
Detritus,Anthometra adriani
Phytoplankton,Anthometra adriani
Sediment,Anthometra adriani
Phytoplankton,Anthozoa
Bacillariophyta,Aplidium vastum 
Bacteria,Aplidium vastum 
Detritus,Aplidium vastum 
Nanoplankton,Aplidium vastum 
Amphipoda,Aporocidaris milleri
Foraminifera,Aporocidaris milleri
Gastropoda,Aporocidaris milleri
Hydrozoa,Aporocidaris milleri
Polychaeta,Aporocidaris milleri
Electrona antarctica,Aptenodytes forsteri
Euphausia superba,Aptenodytes forsteri
Fish,Aptenodytes forsteri
Galiteuthis glacialis,Aptenodytes forsteri
Gonatus antarcticus,Aptenodytes forsteri
Gymnoscopelus braueri,Aptenodytes forsteri
Gymnoscopelus opisthopterus,Aptenodytes forsteri
Kondakovia longimana,Aptenodytes forsteri
Notolepis coatsi,Aptenodytes forsteri
Protomyctophum bolini,Aptenodytes forsteri
Psychroteuthis glacialis,Aptenodytes forsteri
Thysanoessa macrura,Aptenodytes forsteri
Amphipoda,Arctocephalus gazella 
Chaenodraco wilsoni,Arctocephalus gazella 
Chionodraco sp,Arctocephalus gazella 
Dissostichus mawsoni,Arctocephalus gazella 
Electrona antarctica,Arctocephalus gazella 
Euphausiacea,Arctocephalus gazella 
Fish,Arctocephalus gazella 
Gymnoscopelus braueri,Arctocephalus gazella 
Gymnoscopelus nicholsi,Arctocephalus gazella 
Myctophidae,Arctocephalus gazella 
Nematoda,Arctocephalus gazella 
Nototheniidae,Arctocephalus gazella 
Pleuragramma antarcticum,Arctocephalus gazella 
Protomyctophum bolini,Arctocephalus gazella 
Pygoscelis adeliae,Arctocephalus gazella 
Trematomus eulepidotus,Arctocephalus gazella 
Detritus,Arcturidae
Actinaria,Artedidraco loennbergi
Amphipoda,Artedidraco loennbergi
Copepoda,Artedidraco loennbergi
Crustacea,Artedidraco loennbergi
Cumacea,Artedidraco loennbergi
Gastropoda,Artedidraco loennbergi
Isopoda,Artedidraco loennbergi
Polychaeta,Artedidraco loennbergi
Tanaidacea,Artedidraco loennbergi
Copepoda,Artedidraco orianae
Cyllopus lucasii,Artedidraco orianae
Epimeria macrodonta,Artedidraco orianae
Epimeria robusta,Artedidraco orianae
Eunoe spica,Artedidraco orianae
Euphausiacea,Artedidraco orianae
Gnathia calva,Artedidraco orianae
Iphimediella cyclogena,Artedidraco orianae
Isopoda,Artedidraco orianae
Liljeborgia georgiana,Artedidraco orianae
Natatolana obtusata,Artedidraco orianae
Ostracoda,Artedidraco orianae
Pantopoda,Artedidraco orianae
Polychaeta,Artedidraco orianae
Amphipoda,Artedidraco shackletoni
Anthozoa,Artedidraco shackletoni
Crustacea,Artedidraco shackletoni
Crustacea,Artedidraco shackletoni
Cumacea,Artedidraco shackletoni
Gastropoda,Artedidraco shackletoni
Isopoda,Artedidraco shackletoni
Isopoda,Artedidraco shackletoni
Ostracoda,Artedidraco shackletoni
Polychaeta,Artedidraco shackletoni
Polychaeta,Artedidraco shackletoni
Urticinopsis antarctica,Artedidraco shackletoni
Bacillariophyta,Ascidia challengeri
Bacteria,Ascidia challengeri
Detritus,Ascidia challengeri
Nanoplankton,Ascidia challengeri
Detritus,Ascidiacea
Detritus,Asteroidea
Coelenterata,Astrochlamys bruneus
Euchaeta antarctica,Astrochlamys bruneus
Zooplankton,Astrochlamys bruneus
Bacillariophyta,Astrotoma agassizii
Bivalvia,Astrotoma agassizii
Bryozoa,Astrotoma agassizii
Calanoides acutus,Astrotoma agassizii
Calanus propinquus,Astrotoma agassizii
Cnidaria,Astrotoma agassizii
Crustacea,Astrotoma agassizii
Detritus,Astrotoma agassizii
Echinoidea,Astrotoma agassizii
Euchaeta antarctica,Astrotoma agassizii
Eukrohnia hamata,Astrotoma agassizii
Euphausiacea,Astrotoma agassizii
Fish,Astrotoma agassizii
Foraminifera,Astrotoma agassizii
Holothuria sp,Astrotoma agassizii
Hydrozoa,Astrotoma agassizii
Mysidacea,Astrotoma agassizii
Ostracoda,Astrotoma agassizii
Polychaeta,Astrotoma agassizii
Porifera,Astrotoma agassizii
Sediment,Astrotoma agassizii
SilicioZooplankton,Astrotoma agassizii
Zooplankton,Astrotoma agassizii
Foraminifera,Austrocidaris canaliculata
Gastropoda,Austrocidaris canaliculata
Bacillariophyta,Austrosisignum grande
Detritus,Austrosisignum grande
Bacteria,Axociella nidificata
Detritus,Axociella nidificata
Phytoplankton,Axociella nidificata
Euphausiacea,Balaenoptera acutorostrata
Fish,Balaenoptera acutorostrata
Myctophidae,Balaenoptera acutorostrata
Zooplankton,Balaenoptera acutorostrata
Champsocephalus gunnari ,Balaenoptera musculus
Dissostichus mawsoni,Balaenoptera musculus
Euphausiacea,Balaenoptera musculus
Fish,Balaenoptera musculus
Myctophidae,Balaenoptera musculus
Squid,Balaenoptera musculus
Zooplankton,Balaenoptera musculus
Champsocephalus gunnari ,Balaenoptera physalus
Dissostichus mawsoni,Balaenoptera physalus
Euphausiacea,Balaenoptera physalus
Fish,Balaenoptera physalus
Myctophidae,Balaenoptera physalus
Squid,Balaenoptera physalus
Zooplankton,Balaenoptera physalus
Euphausiacea,Bargmannia sp
Zooplankton,Bargmannia sp
Bivalvia,Barrukia cristata
Detritus,Barrukia cristata
Ophiuroidea,Barrukia cristata
Polychaeta,Barrukia cristata
Actinaria,Baseodiscus antarcticus
Adamussium colbecki,Baseodiscus antarcticus
Asteroidea,Baseodiscus antarcticus
Bacillariophyta,Baseodiscus antarcticus
Bivalvia,Baseodiscus antarcticus
Crustacea,Baseodiscus antarcticus
Ctenophora,Baseodiscus antarcticus
Fish,Baseodiscus antarcticus
Homaxinella balfourensis,Baseodiscus antarcticus
Polychaeta,Baseodiscus antarcticus
Porifera,Baseodiscus antarcticus
Detritus,Bathybiaster loripes
Anthozoa,Bathydoris clavigera
Echinoidea,Bathydoris clavigera
Foraminifera,Bathydoris clavigera
Hydrozoa,Bathydoris clavigera
Porifera,Bathydoris clavigera
Sediment,Bathydoris clavigera
Urticinopsis antarctica,Bathydoris clavigera
Coelenterata,Bathylagus antarcticus
Copepoda,Bathylagus antarcticus
Euchaeta antarctica,Bathylagus antarcticus
Eukrohnia hamata,Bathylagus antarcticus
Euphausia superba,Bathylagus antarcticus
Foraminifera,Bathylagus antarcticus
Limacina helicina,Bathylagus antarcticus
Metridia gerlachei,Bathylagus antarcticus
Oithona sp,Bathylagus antarcticus
Oncaea sp,Bathylagus antarcticus
Pelagobia longicirrata,Bathylagus antarcticus
Sagitta marri,Bathylagus antarcticus
Zooplankton,Bathylagus antarcticus
Anthozoa,Bathypanoploea schellenbergi
Bacillariophyta,Bathypanoploea schellenbergi
Bryozoa,Bathypanoploea schellenbergi
Crustacea,Bathypanoploea schellenbergi
Holothuria sp,Bathypanoploea schellenbergi
Urticinopsis antarctica,Bathypanoploea schellenbergi
Detritus,Bathyplotes bongraini
Detritus,Bathyplotes gourdoni
Ctenophora,Beroe cucumis
Pelagobia longicirrata,Beroe cucumis
Detritus,Bivalvia
Bacillariophyta,Boroecia antipoda
Detritus,Boroecia antipoda
Phytoplankton,Boroecia antipoda
Bacillariophyta,Bostrychopora dentata
Detritus,Bostrychopora dentata
Nanoplankton,Bostrychopora dentata
Waldeckia obesa,Bovallia gigantea
Phytoplankton,Brachiopoda
Detritus,Bryozoa
Bacillariophyta,Cadulus dalli antarcticum
Detritus,Cadulus dalli antarcticum
Bacillariophyta,Calanoides acutus
Copepoda,Calanoides acutus
Oithona sp,Calanoides acutus
Oncaea sp,Calanoides acutus
Pelagobia longicirrata,Calanoides acutus
SilicioZooplankton,Calanoides acutus
Tintinnidae,Calanoides acutus
Zooplankton,Calanoides acutus
Bacillariophyta,Calanus propinquus
Coelenterata,Calanus propinquus
Copepoda,Calanus propinquus
Euchaeta antarctica,Calanus propinquus
Oithona sp,Calanus propinquus
SilicioZooplankton,Calanus propinquus
Tintinnidae,Calanus propinquus
Zooplankton,Calanus propinquus
Copepoda,Callianira antarctica
Zooplankton,Callianira antarctica
Bryozoa,Callochiton gaussi
Bacteria,Calyx arcuarius
Detritus,Calyx arcuarius
Phytoplankton,Calyx arcuarius
Bacillariophyta,Camptoplites tricornis
Detritus,Camptoplites tricornis
Nanoplankton,Camptoplites tricornis
Bacillariophyta,Campylaspis maculata
Bacillariophyta,Cassidulinoides parkeriana
Detritus,Cassidulinoides parkeriana
Sediment,Cassidulinoides parkeriana
Bacillariophyta,Cellarinella sp
Detritus,Cellarinella sp
Nanoplankton,Cellarinella sp
Detritus,Cephalodiscus sp
Crustacea,Ceratoserolis meridionalis
Polychaeta,Ceratoserolis meridionalis
Euphausiacea,Chaenodraco wilsoni
Mysidacea,Chaenodraco wilsoni
Phytoplankton,Chaetognatha
Zooplankton,Champsocephalus gunnari 
Copepoda,Chionodraco hamatus
Euphausiacea,Chionodraco hamatus
Fish,Chionodraco hamatus
Euphausiacea,Chionodraco myersi
Fish,Chionodraco myersi
Copepoda,Chionodraco sp
Porifera,Chiton
Amphipoda,Chorismus antarcticus
Bacillariophyta,Chorismus antarcticus
Barrukia cristata,Chorismus antarcticus
Corethron sp,Chorismus antarcticus
Eucranta mollis,Chorismus antarcticus
Eulagisca gigantea,Chorismus antarcticus
Eunoe spica,Chorismus antarcticus
Foraminifera,Chorismus antarcticus
Gastropoda,Chorismus antarcticus
Isopoda,Chorismus antarcticus
Laetmonice producta,Chorismus antarcticus
Nematoda,Chorismus antarcticus
Polychaeta,Chorismus antarcticus
Porifera,Chorismus antarcticus
Taeniogyrus contortus,Chorismus antarcticus
Yoldia eightsi,Chorismus antarcticus
Zooplankton,Chorismus antarcticus
Bacillariophyta,Cibicides refulgens
Detritus,Cibicides refulgens
Sediment,Cibicides refulgens
Bacteria,Cinachyra antarctica
Detritus,Cinachyra antarctica
Phytoplankton,Cinachyra antarctica
Bacteria,Cinachyra barbata
Detritus,Cinachyra barbata
Phytoplankton,Cinachyra barbata
Bacillariophyta,Clavularia frankliniana
Foraminifera,Clavularia frankliniana
Nematoda,Clavularia frankliniana
Phytoplankton,Clavularia frankliniana
Zooplankton,Clavularia frankliniana
Phytoplankton,Clavularia sp
Copepoda,Clio pyramidata
Gnathia calva,Clio pyramidata
Oithona sp,Clio pyramidata
Pelagobia longicirrata,Clio pyramidata
Clione antarctica,Clione antarctica
Limacina helicina,Clione antarctica
Clione antarctica,Clione limacina
Limacina helicina,Clione limacina
Bacillariophyta,Cnemidocarpa verrucosa
Bacteria,Cnemidocarpa verrucosa
Detritus,Cnemidocarpa verrucosa
Nanoplankton,Cnemidocarpa verrucosa
Zooplankton,Cnidaria
Zooplankton,Coelenterata
Bryozoa,Colossendeis sp
Ctenophora,Colossendeis sp
Gastropoda,Colossendeis sp
Ophiuroidea,Colossendeis sp
Polychaeta,Colossendeis sp
Porifera,Colossendeis sp
Detritus,Composothyris racovitzae
Zooplankton,Copepoda
Bacillariophyta,Corella eumyota
Bacteria,Corella eumyota
Detritus,Corella eumyota
Nanoplankton,Corella eumyota
Detritus,Crania lecointei
Detritus,Crinoidea
Zooplankton,Crustacea
Euphausiacea,Cryodraco antarcticus
Pleuragramma antarcticum,Cryodraco antarcticus
Bivalvia,Ctenocidaris gigantea
Bryozoa,Ctenocidaris gigantea
Crustacea,Ctenocidaris gigantea
Detritus,Ctenocidaris gigantea
Hydrozoa,Ctenocidaris gigantea
Polychaeta,Ctenocidaris gigantea
Porifera,Ctenocidaris gigantea
Zooplankton,Ctenocidaris gigantea
Bryozoa,Ctenocidaris gilberti
Foraminifera,Ctenocidaris gilberti
Porifera,Ctenocidaris gilberti
Bryozoa,Ctenocidaris perrieri
Eunoe spica,Ctenocidaris perrieri
Foraminifera,Ctenocidaris perrieri
Polychaeta,Ctenocidaris perrieri
